Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
h02780;;;;;;;;;no;id:12345;MODBUS_HOLDING_REGISTER;2780;1;;s16;-32768;32767;-32768
h02781;;;;;;;;;no;id:12346;MODBUS_HOLDING_REGISTER;2781;1;;s16;-32768;32767;-32768
h02782;;;;;;;;;no;id:12347;MODBUS_HOLDING_REGISTER;2782;1;;s16;-32768;32767;-32768
h02783;;;;;;;;;no;id:12348;MODBUS_HOLDING_REGISTER;2783;1;;s16;-32768;32767;-32768
h02784;;;;;;;;;no;id:12349;MODBUS_HOLDING_REGISTER;2784;1;;s16;-32768;32767;-32768
h02785;;;;;;;;;no;id:12350;MODBUS_HOLDING_REGISTER;2785;1;;s16;-32768;32767;-32768
h02786;;;;;;;;;no;id:12351;MODBUS_HOLDING_REGISTER;2786;1;;s16;-32768;32767;-32768
h02787;;;;;;;;;no;id:12352;MODBUS_HOLDING_REGISTER;2787;1;;s16;-32768;32767;-32768
h02788;;;;;;;;;no;id:12353;MODBUS_HOLDING_REGISTER;2788;1;;s16;-32768;32767;-32768
h02789;;;;;;;;;no;id:12354;MODBUS_HOLDING_REGISTER;2789;1;;s16;-32768;32767;-32768
h02790;;;;;;;;;no;id:12355;MODBUS_HOLDING_REGISTER;2790;1;;s16;-32768;32767;-32768
h02791;;;;;;;;;no;id:12356;MODBUS_HOLDING_REGISTER;2791;1;;s16;-32768;32767;-32768
h02792;;;;;;;;;no;id:12357;MODBUS_HOLDING_REGISTER;2792;1;;s16;-32768;32767;-32768
h02793;;;;;;;;;no;id:12358;MODBUS_HOLDING_REGISTER;2793;1;;s16;-32768;32767;-32768
h02794;;;;;;;;;no;id:12359;MODBUS_HOLDING_REGISTER;2794;1;;s16;-32768;32767;-32768
h02795;;;;;;;;;no;id:12360;MODBUS_HOLDING_REGISTER;2795;1;;s16;-32768;32767;-32768
h02796;;;;;;;;;no;id:12361;MODBUS_HOLDING_REGISTER;2796;1;;s16;-32768;32767;-32768
h02797;;;;;;;;;no;id:12362;MODBUS_HOLDING_REGISTER;2797;1;;s16;-32768;32767;-32768
h02798;;;;;;;;;no;id:12363;MODBUS_HOLDING_REGISTER;2798;1;;s16;-32768;32767;-32768
h02799;;;;;;;;;no;id:12364;MODBUS_HOLDING_REGISTER;2799;1;;s16;-32768;32767;-32768
h02800;;;;;;;;;no;id:12365;MODBUS_HOLDING_REGISTER;2800;1;;s16;-32768;32767;-32768
h02801;;;;;;;;;no;id:12366;MODBUS_HOLDING_REGISTER;2801;1;;s16;-32768;32767;-32768
h02802;;;;;;;;;no;id:12367;MODBUS_HOLDING_REGISTER;2802;1;;s16;-32768;32767;-32768
h02803;;;;;;;;;no;id:12368;MODBUS_HOLDING_REGISTER;2803;1;;s16;-32768;32767;-32768
h02804;;;;;;;;;no;id:12369;MODBUS_HOLDING_REGISTER;2804;1;;s16;-32768;32767;-32768
h02805;;;;;;;;;no;id:12370;MODBUS_HOLDING_REGISTER;2805;1;;s16;-32768;32767;-32768
h02806;;;;;;;;;no;id:12371;MODBUS_HOLDING_REGISTER;2806;1;;s16;-32768;32767;-32768
h02807;;;;;;;;;no;id:12372;MODBUS_HOLDING_REGISTER;2807;1;;s16;-32768;32767;-32768
h02808;;;;;;;;;no;id:12373;MODBUS_HOLDING_REGISTER;2808;1;;s16;-32768;32767;-32768
h02809;;;;;;;;;no;id:12374;MODBUS_HOLDING_REGISTER;2809;1;;s16;-32768;32767;-32768
h02810;;;;;;;;;no;id:12375;MODBUS_HOLDING_REGISTER;2810;1;;s16;-32768;32767;-32768
h02811;;;;;;;;;no;id:12376;MODBUS_HOLDING_REGISTER;2811;1;;s16;-32768;32767;-32768
h02812;;;;;;;;;no;id:12377;MODBUS_HOLDING_REGISTER;2812;1;;s16;-32768;32767;-32768
h02813;;;;;;;;;no;id:12378;MODBUS_HOLDING_REGISTER;2813;1;;s16;-32768;32767;-32768
h02814;;;;;;;;;no;id:12379;MODBUS_HOLDING_REGISTER;2814;1;;s16;-32768;32767;-32768
h02815;;;;;;;;;no;id:12380;MODBUS_HOLDING_REGISTER;2815;1;;s16;-32768;32767;-32768
h02816;;;;;;;;;no;id:12381;MODBUS_HOLDING_REGISTER;2816;1;;s16;-32768;32767;-32768
h02817;;;;;;;;;no;id:12382;MODBUS_HOLDING_REGISTER;2817;1;;s16;-32768;32767;-32768
h02818;;;;;;;;;no;id:12383;MODBUS_HOLDING_REGISTER;2818;1;;s16;-32768;32767;-32768
h02819;;;;;;;;;no;id:12384;MODBUS_HOLDING_REGISTER;2819;1;;s16;-32768;32767;-32768
h02820;;;;;;;;;no;ERS 2;MODBUS_HOLDING_REGISTER;2820;1;;u8;0;1;0
h02821;;;;;;;;;no;ERS 3;MODBUS_HOLDING_REGISTER;2821;1;;u8;0;1;0
h02822;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2822;1;;u8;0;1;0
h02823;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2823;1;;u8;0;1;0
h02824;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2824;1;;u8;0;1;1
h02825;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2825;1;;u8;0;1;1
h02826;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2826;1;;u8;0;1;1
h02827;;;;;;;;;no;ERS 4;MODBUS_HOLDING_REGISTER;2827;1;;u8;0;1;1
h02828;;;;;;;;;no;Blockierung Maßnahmen (ERS 4);MODBUS_HOLDING_REGISTER;2828;1;;u8;0;2;2
h02829;;;;;;;;;no;Blockierung Maßnahmen (ERS 4);MODBUS_HOLDING_REGISTER;2829;1;;u8;0;2;2
h02830;;;;;;;;;no;Blockierung Maßnahmen (ERS 4);MODBUS_HOLDING_REGISTER;2830;1;;u8;0;2;2
h02831;;;;;;;;;no;Blockierung Maßnahmen (ERS 4);MODBUS_HOLDING_REGISTER;2831;1;;u8;0;2;2
h02832;;;;;;;;;no;id:23153;MODBUS_HOLDING_REGISTER;2832;10;°C;s16;30;100;30
h02833;;;;;;;;;no;id:23154;MODBUS_HOLDING_REGISTER;2833;10;°C;s16;30;100;30
h02834;;;;;;;;;no;id:23155;MODBUS_HOLDING_REGISTER;2834;10;°C;s16;30;100;30
h02835;;;;;;;;;no;id:23156;MODBUS_HOLDING_REGISTER;2835;10;°C;s16;30;100;30
h02836;;;;;;;;;no;id:23149;MODBUS_HOLDING_REGISTER;2836;10;°C;s16;-200;410;190
h02837;;;;;;;;;no;id:23150;MODBUS_HOLDING_REGISTER;2837;10;°C;s16;-200;410;190
h02838;;;;;;;;;no;id:23151;MODBUS_HOLDING_REGISTER;2838;10;°C;s16;-200;410;190
h02839;;;;;;;;;no;id:23152;MODBUS_HOLDING_REGISTER;2839;10;°C;s16;-200;410;190
h02857;;;;;;;;;no;Min. Fortlufttemp. (ERS 4);MODBUS_HOLDING_REGISTER;2857;1;°C;u8;0;10;3
h02858;;;;;;;;;no;Min. Fortlufttemp. (ERS 4);MODBUS_HOLDING_REGISTER;2858;1;°C;u8;0;10;3
h02859;;;;;;;;;no;Min. Fortlufttemp. (ERS 4);MODBUS_HOLDING_REGISTER;2859;1;°C;u8;0;10;3
h02860;;;;;;;;;no;Min. Fortlufttemp. (ERS 4);MODBUS_HOLDING_REGISTER;2860;1;°C;u8;0;10;3
h02877;;;;;;;;;no;id:55076;MODBUS_HOLDING_REGISTER;2877;1;;u8;0;1;0
h02878;;;;;;;;;no;id:55077;MODBUS_HOLDING_REGISTER;2878;1;;u8;0;1;0
h02879;;;;;;;;;no;id:55078;MODBUS_HOLDING_REGISTER;2879;1;;u8;0;1;0
h02880;;;;;;;;;no;id:55079;MODBUS_HOLDING_REGISTER;2880;1;;u8;0;1;0
h02881;;;;;;;;;no;id:55080;MODBUS_HOLDING_REGISTER;2881;1;;u8;0;1;0
h02882;;;;;;;;;no;id:55081;MODBUS_HOLDING_REGISTER;2882;1;;u8;0;1;0
h02883;;;;;;;;;no;id:55082;MODBUS_HOLDING_REGISTER;2883;1;;u8;0;1;0
h02884;;;;;;;;;no;id:55083;MODBUS_HOLDING_REGISTER;2884;1;;u8;0;1;0
h02921;;;;;;;;;no;id:23145;MODBUS_HOLDING_REGISTER;2921;1;;u8;0;1;0
h02922;;;;;;;;;no;id:23146;MODBUS_HOLDING_REGISTER;2922;1;;u8;0;1;0
h02923;;;;;;;;;no;id:23147;MODBUS_HOLDING_REGISTER;2923;1;;u8;0;1;0
h02924;;;;;;;;;no;id:23148;MODBUS_HOLDING_REGISTER;2924;1;;u8;0;1;0
h02942;;;;VVM;HZ;;;;yes;Starttemperatur Nachtabsenkung 1;MODBUS_HOLDING_REGISTER;2942;1;°C;u8;20;30;25
h02943;;;;VVM;HZ;;;;yes;Nachtabsenkung Diff;MODBUS_HOLDING_REGISTER;2943;1;°C;u8;3;10;6
h02955;;;;VVM;HZ;;;;yes;Nachtabsenkung 1;MODBUS_HOLDING_REGISTER;2955;1;;u8;0;1;0
h02978;;;;;;;;;no;id:12671;MODBUS_HOLDING_REGISTER;2978;1;;u8;0;3;0
h02979;;;;;;;;;no;id:12672;MODBUS_HOLDING_REGISTER;2979;1;;u8;0;3;0
h02980;;;;;;;;;no;id:12673;MODBUS_HOLDING_REGISTER;2980;1;;u8;0;3;0
h02981;;;;;;;;;no;id:12674;MODBUS_HOLDING_REGISTER;2981;1;;u8;0;3;0
h02982;;;;;;;;;no;id:12675;MODBUS_HOLDING_REGISTER;2982;1;;u8;0;3;0
h02983;;;;;;;;;no;id:12676;MODBUS_HOLDING_REGISTER;2983;1;;u8;0;3;0
h02984;;;;;;;;;no;id:12677;MODBUS_HOLDING_REGISTER;2984;1;;u8;0;3;0
h02985;;;;;;;;;no;id:12678;MODBUS_HOLDING_REGISTER;2985;1;;u8;0;3;0
h02986;;;;;;;;;no;id:12679;MODBUS_HOLDING_REGISTER;2986;1;;u8;0;15;0
