Titel	Re­gister­typ	Re­gister	Divi­sions­faktor	Ein­heit	Vari­ablen­größe	Mindest­wert	Höchst­wert	Stan­dard­wert	
Min. Ventilatordrehzahl (EB101)	MODBUS_INPUT_REGISTER	403	1	rpm	u16	0	0	0
Max. Verdichterdrehzahl (EB101)	MODBUS_INPUT_REGISTER	404	10	Hz	u16	0	0	0
Min. Verdichterdrehzahl (EB101)	MODBUS_INPUT_REGISTER	405	10	Hz	u16	0	0	0
Erzeugte Leistung Wärme (EB101)	MODBUS_INPUT_REGISTER	406	10	kW	u16	0	0	0
Zeit bis Enteisung (EB101)	MODBUS_INPUT_REGISTER	407	1	min	u16	0	0	0
Enteisung Index (EB101)	MODBUS_INPUT_REGISTER	408	1		u16	0	0	0
Überhitzung Referenz EEV (EB101)	MODBUS_INPUT_REGISTER	409	10	°C	s16	0	0	0
Überhitzung EEV (EB101)	MODBUS_INPUT_REGISTER	410	10	°C	s16	0	0	0
EEV-ssh-error (EB101)	MODBUS_INPUT_REGISTER	411	10	°C	s16	0	0	0
Überhitzung Temp. Referenz EEV (EB101)	MODBUS_INPUT_REGISTER	412	10	°C	s16	0	0	0
Sollwert EEV (EB101)	MODBUS_INPUT_REGISTER	413	10	°C	s16	0	0	0
EEV PV (EB101)	MODBUS_INPUT_REGISTER	414	10	°C	s16	0	0	0
EEV-te-error durchschnittl. geöffnet (EB101)	MODBUS_INPUT_REGISTER	415	10	°C	s16	0	0	0
Öffnungsgrad EEV (EB101)	MODBUS_INPUT_REGISTER	416	1		u16	0	0	0
Überhitzung Referenz EVI (EB101)	MODBUS_INPUT_REGISTER	417	10	°C	s16	0	0	0
Überhitzung EVI (EB101)	MODBUS_INPUT_REGISTER	418	10	°C	s16	0	0	0
EEV-ssh-error (EVI)(EB101)	MODBUS_INPUT_REGISTER	419	10	°C	s16	0	0	0
Überhitzung Temp. Referenz EVI (EB101)	MODBUS_INPUT_REGISTER	420	10	°C	s16	0	0	0
Sollwert EVI (EB101)	MODBUS_INPUT_REGISTER	421	10	°C	s16	0	0	0
EVI PV (EB101)	MODBUS_INPUT_REGISTER	422	10	°C	s16	0	0	0
EEV-te-error durchschnittl. geöffnet in (EVI)(EB101)	MODBUS_INPUT_REGISTER	423	10	°C	s16	0	0	0
Öffnungsgrad EVI (EB101)	MODBUS_INPUT_REGISTER	424	1		u16	0	0	0
id:859	MODBUS_INPUT_REGISTER	426	10	%RH	s16	0	0	0
id:861	MODBUS_INPUT_REGISTER	427	1		u32	0	0	0
id:862	MODBUS_INPUT_REGISTER	429	1		u16	0	0	0
Niederdruck (EB101 BP8 dew)	MODBUS_INPUT_REGISTER	550	10	°C	s16	0	0	0
Hochdruck (EB101 BP9 dew)	MODBUS_INPUT_REGISTER	551	10	°C	s16	0	0	0
Einspritzung (EB101-BT81)	MODBUS_INPUT_REGISTER	552	10	°C	s16	0	0	0
Druckgeber, Einspritzung (EB101-BP11)	MODBUS_INPUT_REGISTER	553	10		s16	0	0	0
EVI-Druck (EB101-EP14-BP11 dew)	MODBUS_INPUT_REGISTER	554	10	°C	s16	0	0	0
Verdampfer (EB101-BT84)	MODBUS_INPUT_REGISTER	555	10	°C	s16	0	0	0
